Imposter Combination	Number of Games	Wins	Win %
Ethan, Josh	11	3	27
Josh, Vik	10	9	90
Josh, Tobi	9	3	33
Lazarbeam, Vik	8	5	63
JJ, Tobi	7	4	57
Harry, JJ	7	3	43
JJ, Lazarbeam	6	4	67
Josh, Simon	6	3	50
Lachlan, Simon	6	4	67
Lachlan, Vik	6	1	17
Deji, Tobi	6	4	67
DannyAarons, Vik	6	2	33
Deji, Josh	5	1	20
Ethan, Harry	5	1	20
Ethan, Randolph	5	1	20
Ethan, Simon	5	3	60
Ethan, Vik	5	3	60
JJ, Lachlan	5	1	20
JJ, Vik	5	2	40
JJ, Randolph	4	1	25
JJ, Simon	4	3	75
JJ, Josh	4	3	75
Harry, Tobi	4	0	0
Harry, Vik	4	3	75
Harry, Josh	4	1	25
Ethan, Tobi	4	2	50
Harry, Randolph	4	1	25
Randolph, Simon	4	4	100
Josh, Viz	4	1	25
Josh, Lachlan	4	1	25
Josh, Lazarbeam	4	2	50
Ethan, Lazarbeam	4	2	50
Deji, Vik	4	2	50
Deji, JJ	4	0	0
Ethan, JJ	4	0	0
DannyAarons, Tobi	4	1	25
DannyAarons, Deji	4	1	25
Randolph, Viz	4	1	25
Simon, Vik	4	4	100
Tobi, Vik	4	4	100
Tobi	3	1	33
Calfreezy, Josh	3	2	67
DannyAarons, JJ	3	1	33
DannyAarons, Josh	3	1	33
Deji, Ethan	3	0	0
Ellum, Josh	3	1	33
Ethan, Viz	3	2	67
Josh, PieFace	3	3	100
Randolph, Tobi	3	1	33
Lazarbeam, Tobi	3	0	0
Harry, Simon	3	2	67
Harry, Lazarbeam	3	3	100
Harry, Lachlan	2	0	0
Harry, PieFace	2	2	100
Harry, JJ, Tobi	2	0	0
Harry, JME	2	2	100
Ginge, Tobi	2	0	0
George Clarkey, Tobi	2	0	0
George Clarkey, Vik	2	1	50
JJ, MilkInABag	2	2	100
JJ, PieFace	2	1	50
JME, Josh	2	0	0
Lachlan, PieFace	2	1	50
Lazarbeam, Viz	2	1	50
Randolph, Vik	2	1	50
PieFace, Tobi	2	1	50
MaxFosh, Simon	2	2	100
MaxFosh, Viz	2	0	0
Lachlan, Tobi	2	0	0
Ellum, Randolph	2	0	0
Deji, JME	2	1	50
Deji, Simon	2	2	100
Deji, Simon, Tobi	2	2	100
Deji, Ginge	2	0	0
Deji, Lachlan	2	0	0
Deji, Lazarbeam	2	1	50
DannyAarons, Lachlan	2	2	100
DannyAarons, JME	2	0	0
DannyAarons, MaxFosh	2	0	0
DannyAarons, Simon	2	1	50
DannyAarons, Ethan	2	1	50
Callux, Simon	2	2	100
Simon, Viz	2	2	100
Simon	2	1	50
Simon, Tobi	2	1	50
Vik, Viz	2	1	50
Vik, WillNE	1	0	0
Viz	1	0	0
Tobi, Viz	1	1	100
Tobi, Wilbur	1	0	0
Vik	1	0	0
Simon, TommyInnit	1	0	0
Theo, Vik	1	0	0
Tobi, Tubbo	1	1	100
Chandler, Vik	1	1	100
Chip	1	0	0
ChrisMD	1	0	0
ChrisMD, Ethan	1	0	0
ChrisMD, Tobi	1	1	100
Courage, Vik	1	0	0
DannyAarons, Harry	1	1	100
Callux, DannyAarons	1	0	0
Callux, Josh, Vik	1	0	0
AB, Harry	1	0	0
AB, Lazarbeam	1	0	0
Anita, JJ, Tobi	1	1	100
Apex, Harry	1	0	0
ArthurTV, Calfreezy	1	0	0
ArthurTV, Ethan	1	1	100
ArthurTV, Simon	1	1	100
ArthurTV, Tobi	1	0	0
Calfreezy, Deji	1	0	0
Calfreezy, Deji, Harry	1	1	100
Calfreezy, Ethan	1	1	100
Calfreezy, George Clarkey	1	0	0
DannyAarons, Lazarbeam	1	1	100
DannyAarons, JJ, Lazarbeam	1	0	0
Deji, MaxFosh	1	0	0
Deji, PieFace	1	0	0
Deji, Randolph	1	0	0
DannyAarons, Viz	1	1	100
Deji, Theo	1	1	100
Ellum, Ethan	1	1	100
Ellum, JJ	1	1	100
Ellum, Tobi	1	0	0
Ellum, Vik	1	1	100
Ellum, Josh, Randolph	1	0	0
Ethan, JJ, Tobi	1	1	100
Ethan, JJ, Vik	1	1	100
Ethan, JME	1	1	100
Fresh, Lachlan	1	1	100
George Clarkey, Josh	1	1	100
Ethan, Simon, Viz	1	1	100
Ethan, Harry, JJ	1	1	100
Ethan, Lazarbeam, Simon	1	1	100
Ethan, Lazarbeam, Vik	1	0	0
Ethan, PieFace	1	0	0
Ethan, Jynxzi	1	0	0
Ethan, Kay	1	1	100
Ethan, Lachlan	1	0	0
Ethan, Lachlan, Tobi	1	1	100
Josh, TommyInnit	1	0	0
Josh, Wilbur	1	0	0
Kay, Tobi	1	1	100
Josh, Randolph	1	1	100
Josh, Simon, Vik	1	1	100
JJ, TommyInnit	1	0	0
MilkInABag, Simon	1	1	100
MrBeast, Simon	1	0	0
Muselk, Vik	1	1	100
PieFace	1	0	0
PieFace, Theo, Tobi	1	0	0
PieFace, Tom Syndicate	1	1	100
PieFace, Vik	1	0	0
MaxFosh, Randolph	1	0	0
Lazarbeam, Marlon	1	1	100
Lazarbeam, PieFace	1	1	100
Lazarbeam, PieFace, Vik	1	1	100
Lazarbeam, Randolph	1	0	0
Lazarbeam, Simon	1	1	100
Lazarbeam, Theo	1	0	0
JME, MaxFosh	1	0	0
JME, Tobi	1	0	0
Joe Weller, Tobi	1	1	100
JJ, Theo	1	1	100
Harry, Viz	1	0	0
JackSepticEye, JJ	1	1	100
Jarvis, JJ	1	0	0
JJ	1	0	0
JJ, JME	1	0	0
JJ, MaxFosh	1	0	0
Ginge, JJ	1	0	0
Ginge, Josh	1	0	0
Ginge, Jynxzi	1	0	0
Ginge, Viz	1	0	0
Ginge, WillNE	1	0	0
Harry, MrBeast	1	1	100